"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"J1","1","DE15_Pins_HighDensity_MountingHoles","","","","Connector_Dsub:DSUB-15-HD_Pins_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm","~"
"R1","1","R","","","","","~"
"U1","1","74LS163","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS163"
"U2,U3","2","74LS163","","","","","http://www.ti.com/lit/gpn/sn74LS163"
"U4","1","CD4033B","","","","Package_DIP:DIP-16_W7.62mm","https://www.ti.com/lit/ds/symlink/cd4033b.pdf"
"U5","1","74HC245","","","","","http://www.ti.com/lit/gpn/sn74HC245"
"U6","1","74LS573","","","","","74xx/74hc573.pdf"
"U7,U8","2","74HC595","","","","","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U9","1","CY62256-70PC","","","","Package_DIP:DIP-28_W15.24mm","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"U10","1","27C512","","","","Package_DIP:DIP-28_W15.24mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf"
